"id","geo_geoname_id","language","name","alternate_name","created_at","updated_at"
"1701","712787","ru","Барышевка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1702","712794","en","Barvinkove",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1703","712794","uk","Барвінкове",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1704","712794","ru","Барвенково",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1705","712794","uk","Барвинкове",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1706","712829","en","Baranivka",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1707","712829","uk","Баранівка",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1708","712861","ru","Бар",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1709","712861","uk","Бар",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1710","712886","uk","Балта",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1711","712886","ru","Балта",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1712","712926","en","Balakliya",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1713","712926","uk","Балаклія",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1714","712926","ru","Балаклея",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1715","712930","en","Balaklava",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1716","712930","ru","Балаклава",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1717","712930","uk","Балаклава",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1718","712966","en","Bakhmach",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1719","712966","ru","Бахмач",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1720","712966","uk","Бахмач",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1721","712969","en","Bakhchisaray",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1722","712969","ru","Бахчисарай",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1723","712969","uk","Бахчисарай",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1724","712992","en","Bagerovo",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1725","712992","ru","Багерово",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1726","712992","uk","Багерове",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1727","713146","ru","Останино",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1728","713146","ru","Ойсул",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1729","713146","uk","Останіне",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1730","713146","en","Ostanino",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1731","713163","uk","Арциз",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1732","713163","ru","Арциз",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1733","713174","en","Artemivs'k",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
"1734","713174","ru","Артемовск",,"2016-11-01 23:39:57","2016-11-01 23:39:57"
